,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Subscription_Status,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group
336,756696,Utah,2017-01-31,2800,400,Not Renewed,ZZ,T,F,G,B,M,A,E,D,227.0,2.0,7.0,999,11.0
338,772809,Arizona,2017-01-31,1680,240,Not Renewed,ZZ,R,ZZ,ZZ,ZZ,Z,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0
363,1112250,Arkansas,2017-01-31,1680,240,Not Renewed,ZZ,R,A,E,C,C,C,Z,Z,189.0,1.0,7.0,999,11.0
388,8000337,Georgia,2017-01-31,4200,600,Not Renewed,ZZ,U,G,H,D,J,D,G,E,613.0,5.0,7.0,999,11.0
394,110748,North Carolina,2017-01-31,2240,320,Not Renewed,ZZ,U,F,H,C,I,C,G,E,376.0,3.0,7.0,999,11.0
401,151554,Georgia,2017-01-31,3850,550,Not Renewed,ZZ,S,D,I,B,O,A,G,E,119.0,2.0,7.0,999,11.0
423,340413,Ohio,2017-01-31,2800,400,Not Renewed,ZZ,T,E,E,C,I,B,E,B,182.0,1.0,7.0,999,11.0
464,800652,California,2017-01-31,2520,360,Not Renewed,ZZ,U,J,J,D,H,D,D,A,552.0,3.0,7.0,999,11.0
477,863157,California,2017-01-31,4032,576,Not Renewed,ZZ,U,G,I,D,F,C,D,A,471.0,2.0,7.0,999,11.0
484,1123347,North Carolina,2017-01-31,1680,240,Not Renewed,ZZ,U,ZZ,ZZ,ZZ,M,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0
609,719430,Texas,2017-02-28,2310,330,Not Renewed,ZZ,R,C,B,C,L,B,E,C,156.0,5.0,7.0,999,11.0
621,566433,Missouri,2017-02-28,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,K,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0
636,190263,Florida,2017-02-28,2835,405,Not Renewed,ZZ,S,J,J,C,J,C,G,E,440.0,2.0,7.0,999,11.0
646,2258094,Florida,2017-02-28,5600,800,Not Renewed,ZZ,S,J,J,C,J,C,G,E,643.0,2.0,7.0,999,11.0
667,791301,California,2017-02-28,2240,320,Not Renewed,ZZ,U,H,H,B,L,A,D,A,180.0,2.0,7.0,999,11.0
690,326475,Ohio,2017-02-28,1680,240,Not Renewed,ZZ,R,F,E,C,I,B,E,B,147.0,2.0,7.0,999,11.0
698,10589691,Florida,2017-02-28,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
702,6909399,Arizona,2017-02-28,1680,240,Not Renewed,ZZ,U,A,H,C,J,C,D,A,812.0,2.0,7.0,999,11.0
722,845148,California,2017-02-28,2800,400,Not Renewed,ZZ,U,G,H,C,G,B,E,B,607.0,1.0,7.0,999,11.0
728,810027,California,2017-02-28,5600,800,Not Renewed,ZZ,U,J,I,C,F,C,D,A,947.0,1.0,7.0,999,11.0
733,767508,Arizona,2017-02-28,11900,1700,Not Renewed,ZZ,U,A,H,C,G,C,D,A,2181.0,1.0,7.0,999,11.0
767,160956,Georgia,2017-02-28,2275,325,Not Renewed,ZZ,ZZ,H,H,C,D,B,B,A,316.0,1.0,7.0,999,11.0
785,2140671,Montana,2017-02-28,1680,240,Not Renewed,ZZ,R,K,E,D,C,D,E,C,109.0,4.0,7.0,999,11.0
801,419421,Michigan,2017-03-31,1680,240,Not Renewed,ZZ,R,K,C,C,F,D,E,B,177.0,4.0,7.0,999,11.0
808,545178,Illinois,2017-03-31,2205,315,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
825,778248,New Mexico,2017-03-31,2331,333,Not Renewed,ZZ,T,H,E,C,G,B,E,D,140.0,2.0,7.0,999,11.0
831,880809,Oregon,2017-03-31,2170,310,Not Renewed,ZZ,T,A,F,C,E,B,F,D,234.0,2.0,7.0,999,11.0
839,5050074,Alabama,2017-03-31,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
840,5984892,Texas,2017-03-31,1771,253,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
842,7469367,Georgia,2017-03-31,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
849,73938,Pennsylvania,2017-03-31,2800,400,Not Renewed,ZZ,R,E,F,C,E,D,F,C,251.0,3.0,7.0,999,11.0
873,776949,New Mexico,2017-03-31,2240,320,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
875,778236,New Mexico,2017-03-31,2331,333,Not Renewed,ZZ,T,H,E,C,G,B,E,D,410.0,2.0,7.0,999,11.0
906,246471,Tennessee,2017-03-31,1680,240,Not Renewed,ZZ,U,I,H,C,C,C,G,E,485.0,1.0,7.0,999,11.0
907,316725,Ohio,2017-03-31,3010,430,Not Renewed,ZZ,S,F,D,B,J,B,G,C,237.0,1.0,7.0,999,11.0
924,778110,New Mexico,2017-03-31,2331,333,Not Renewed,ZZ,T,H,E,C,G,B,E,D,315.0,2.0,7.0,999,11.0
934,2105532,Indiana,2017-03-31,2030,290,Not Renewed,ZZ,U,ZZ,ZZ,ZZ,A,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0
936,2112069,Oklahoma,2017-03-31,1680,240,Not Renewed,ZZ,R,A,B,C,Z,C,Z,Z,106.0,1.0,7.0,999,11.0
944,3242292,Pennsylvania,2017-03-31,2800,400,Not Renewed,ZZ,ZZ,E,F,C,I,D,F,C,254.0,4.0,7.0,999,11.0
954,7746726,California,2017-03-31,1680,240,Not Renewed,ZZ,S,ZZ,ZZ,ZZ,Q,ZZ,ZZ,ZZ,0.0,5.0,7.0,999,11.0
960,199710,Florida,2017-03-31,3038,434,Not Renewed,ZZ,U,J,J,C,I,B,G,E,557.0,1.0,7.0,999,11.0
979,630882,Louisiana,2017-03-31,1890,270,Not Renewed,ZZ,R,D,G,C,I,B,G,D,183.0,3.0,7.0,999,11.0
985,778188,New Mexico,2017-03-31,2331,333,Not Renewed,ZZ,T,H,E,C,G,B,E,D,331.0,2.0,7.0,999,11.0
1010,1113792,California,2017-04-30,5635,805,Not Renewed,ZZ,S,E,F,B,N,A,E,D,379.0,4.0,7.0,999,11.0
1017,795906,California,2017-04-30,4550,650,Not Renewed,ZZ,S,D,G,A,Q,A,Z,Z,5.0,4.0,7.0,999,11.0
1018,772560,Arizona,2017-04-30,2919,417,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1021,634443,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,S,G,H,C,M,B,G,D,409.0,5.0,7.0,999,11.0
1022,634608,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,375.0,4.0,7.0,999,11.0
1023,635721,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,368.0,4.0,7.0,999,11.0
1024,635784,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,343.0,4.0,7.0,999,11.0
1025,635832,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,217.0,4.0,7.0,999,11.0
1026,635859,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,380.0,4.0,7.0,999,11.0
1027,635919,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,172.0,4.0,7.0,999,11.0
1029,701910,Texas,2017-04-30,3150,450,Not Renewed,ZZ,S,H,F,C,J,B,H,E,450.0,3.0,7.0,999,11.0
1040,154515,Georgia,2017-04-30,3108,444,Not Renewed,ZZ,U,G,J,D,A,D,G,E,373.0,3.0,7.0,999,11.0
1045,155040,Georgia,2017-04-30,3108,444,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1056,8632254,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,R,G,H,C,I,B,G,D,255.0,4.0,7.0,999,11.0
1060,7414554,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,129.0,4.0,7.0,999,11.0
1064,6220809,Wyoming,2017-04-30,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1070,2316840,Ohio,2017-04-30,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1077,1154970,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1078,919602,New Mexico,2017-04-30,3675,525,Not Renewed,ZZ,U,H,H,C,E,C,D,A,435.0,2.0,7.0,999,11.0
1087,634194,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,R,G,H,C,O,B,G,D,295.0,5.0,7.0,999,11.0
1089,634464,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,S,G,H,C,M,B,G,D,301.0,5.0,7.0,999,11.0
1091,635736,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,251.0,4.0,7.0,999,11.0
1092,635799,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,417.0,4.0,7.0,999,11.0
1093,635844,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,441.0,4.0,7.0,999,11.0
1094,635868,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,486.0,4.0,7.0,999,11.0
1095,635928,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,394.0,4.0,7.0,999,11.0
1111,155163,Georgia,2017-04-30,3108,444,Not Renewed,ZZ,U,G,J,D,F,D,G,E,319.0,4.0,7.0,999,11.0
1115,7414563,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,134.0,4.0,7.0,999,11.0
1120,3376965,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1121,2947194,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,S,G,H,C,M,B,G,D,473.0,5.0,7.0,999,11.0
1127,1157433,Minnesota,2017-04-30,1680,240,Not Renewed,ZZ,S,ZZ,ZZ,ZZ,N,ZZ,ZZ,ZZ,0.0,4.0,7.0,999,11.0
1131,790617,California,2017-04-30,2275,325,Not Renewed,ZZ,S,J,J,D,I,D,D,A,485.0,3.0,7.0,999,11.0
1139,634206,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,R,G,H,C,O,B,G,D,185.0,5.0,7.0,999,11.0
1140,635745,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,599.0,4.0,7.0,999,11.0
1141,635811,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,355.0,4.0,7.0,999,11.0
1142,635850,Louisiana,2017-04-30,3024,432,Not Renewed,ZZ,U,G,H,C,K,B,G,D,439.0,4.0,7.0,999,11.0
1143,635889,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,226.0,4.0,7.0,999,11.0
1144,646527,Arkansas,2017-04-30,1680,240,Not Renewed,ZZ,R,C,D,C,B,C,E,C,279.0,1.0,7.0,999,11.0
1153,457506,Wisconsin,2017-04-30,1680,240,Not Renewed,ZZ,T,ZZ,ZZ,ZZ,K,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0
1161,154464,Georgia,2017-04-30,3108,444,Not Renewed,ZZ,U,G,J,D,A,D,G,E,534.0,3.0,7.0,999,11.0
1167,155124,Georgia,2017-04-30,3304,472,Not Renewed,ZZ,U,G,J,D,F,D,G,E,363.0,4.0,7.0,999,11.0
1178,10757280,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1181,8000424,Arizona,2017-04-30,3290,470,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1182,7125438,Georgia,2017-04-30,3108,444,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1187,2215260,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,R,G,H,C,C,B,G,D,169.0,2.0,7.0,999,11.0
1190,2331888,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,R,G,H,C,O,B,G,D,215.0,5.0,7.0,999,11.0
1194,846576,California,2017-04-30,3080,440,Not Renewed,ZZ,U,H,H,C,C,C,D,A,458.0,2.0,7.0,999,11.0
1200,797271,California,2017-04-30,4900,700,Not Renewed,ZZ,U,J,J,D,J,D,D,A,652.0,3.0,7.0,999,11.0
1205,634314,Louisiana,2017-04-30,3115,445,Not Renewed,ZZ,R,D,F,D,G,C,E,C,730.0,5.0,7.0,999,11.0
1206,634422,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,S,G,H,C,M,B,G,D,498.0,5.0,7.0,999,11.0
1207,635775,Louisiana,2017-04-30,6293,899,Not Renewed,ZZ,U,G,H,C,J,B,G,D,649.0,4.0,7.0,999,11.0
1208,635823,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,J,B,G,D,0.0,4.0,7.0,999,11.0
1209,635856,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,173.0,4.0,7.0,999,11.0
1210,635907,Louisiana,2017-04-30,2968,424,Not Renewed,ZZ,U,G,H,C,K,B,G,D,332.0,4.0,7.0,999,11.0
1214,466359,Wisconsin,2017-04-30,1680,240,Not Renewed,ZZ,R,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0
1225,154719,Georgia,2017-04-30,3108,444,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1245,1152636,Louisiana,2017-04-30,3885,555,Not Renewed,ZZ,R,D,F,D,G,C,E,C,267.0,5.0,7.0,999,11.0
1251,2140530,Montana,2017-04-30,1680,240,Not Renewed,ZZ,R,C,C,A,O,D,E,C,50.0,5.0,7.0,999,11.0
1252,110793,North Carolina,2017-05-31,3850,550,Not Renewed,ZZ,R,E,H,D,F,D,G,D,409.0,3.0,7.0,999,11.0
1253,110913,North Carolina,2017-05-31,1680,240,Not Renewed,ZZ,R,E,H,D,F,D,G,D,168.0,3.0,7.0,999,11.0
1254,114165,North Carolina,2017-05-31,3066,438,Not Renewed,ZZ,R,D,H,C,H,C,G,D,309.0,1.0,7.0,999,11.0
1256,101340,West Virginia,2017-05-31,1715,245,Not Renewed,ZZ,S,C,H,C,I,C,G,D,172.0,2.0,7.0,999,11.0
1257,102294,West Virginia,2017-05-31,1680,240,Not Renewed,ZZ,R,K,H,C,K,B,G,D,0.0,4.0,7.0,999,11.0
1259,133209,South Carolina,2017-05-31,1680,240,Not Renewed,ZZ,S,B,H,C,G,B,H,E,278.0,1.0,7.0,999,11.0
1263,72459,Pennsylvania,2017-05-31,4200,600,Not Renewed,ZZ,S,E,E,B,O,A,F,C,155.0,4.0,7.0,999,11.0
1265,270456,Mississippi,2017-05-31,1960,280,Not Renewed,ZZ,T,ZZ,ZZ,ZZ,A,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0
1270,236286,Alabama,2017-05-31,2975,425,Not Renewed,ZZ,R,C,G,C,I,B,G,D,345.0,2.0,7.0,999,11.0
1271,236445,Alabama,2017-05-31,1680,240,Not Renewed,ZZ,R,C,G,C,Z,B,G,D,339.0,2.0,7.0,999,11.0
1277,165900,Georgia,2017-05-31,2940,420,Not Renewed,ZZ,U,H,I,C,C,B,G,E,462.0,1.0,7.0,999,11.0
1280,220578,Alabama,2017-05-31,1680,240,Not Renewed,ZZ,S,H,H,C,A,B,G,E,196.0,1.0,7.0,999,11.0
1294,314247,Ohio,2017-05-31,3115,445,Not Renewed,ZZ,S,A,G,A,Q,A,H,C,84.0,4.0,7.0,999,11.0
1295,324270,Ohio,2017-05-31,1680,240,Not Renewed,ZZ,U,ZZ,ZZ,ZZ,E,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0
1296,315918,Ohio,2017-05-31,2310,330,Not Renewed,ZZ,S,F,H,B,O,A,H,C,104.0,5.0,7.0,999,11.0
1297,320331,Ohio,2017-05-31,1680,240,Not Renewed,ZZ,S,ZZ,ZZ,ZZ,D,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0
1300,332229,Ohio,2017-05-31,3010,430,Not Renewed,ZZ,T,G,A,C,I,B,H,C,226.0,1.0,7.0,999,11.0
1301,292905,Kentucky,2017-05-31,3500,500,Not Renewed,ZZ,R,A,H,C,C,B,G,D,291.0,1.0,7.0,999,11.0
1306,438381,Iowa,2017-05-31,1680,240,Not Renewed,ZZ,U,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,7.0,999,11.0
1312,502059,North Dakota,2017-05-31,2450,350,Not Renewed,ZZ,R,D,D,B,O,B,E,B,25.0,5.0,7.0,999,11.0
1330,565146,Illinois,2017-05-31,2380,340,Not Renewed,ZZ,U,C,F,C,J,B,H,C,334.0,1.0,7.0,999,11.0
1334,685449,Texas,2017-05-31,4151,593,Not Renewed,ZZ,U,H,H,C,I,B,G,E,442.0,4.0,7.0,999,11.0
1336,703803,Texas,2017-05-31,1715,245,Not Renewed,ZZ,R,D,E,C,L,B,E,C,120.0,2.0,7.0,999,11.0
1339,685686,Texas,2017-05-31,1946,278,Not Renewed,ZZ,U,H,H,C,I,B,G,E,235.0,4.0,7.0,999,11.0
1340,685794,Texas,2017-05-31,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1341,719088,Texas,2017-05-31,3500,500,Not Renewed,ZZ,S,E,H,B,N,A,G,E,291.0,5.0,7.0,999,11.0
1345,786603,California,2017-05-31,6083,869,Not Renewed,ZZ,U,J,J,D,N,D,D,A,445.0,5.0,7.0,999,11.0
1346,788325,California,2017-05-31,6825,975,Not Renewed,ZZ,S,J,J,D,E,D,D,A,825.0,2.0,7.0,999,11.0
1348,765846,Arizona,2017-05-31,5600,800,Not Renewed,ZZ,U,H,C,D,B,C,E,A,836.0,2.0,7.0,999,11.0
1352,852291,California,2017-05-31,3780,540,Not Renewed,ZZ,U,E,G,B,Q,A,E,D,151.0,4.0,7.0,999,11.0
1354,889803,Washington,2017-05-31,1680,240,Not Renewed,ZZ,R,K,F,D,F,D,E,C,90.0,4.0,7.0,999,11.0
1356,1116786,Illinois,2017-05-31,2310,330,Not Renewed,ZZ,U,J,J,D,D,D,F,B,439.0,3.0,7.0,999,11.0
1373,4115904,Mississippi,2017-05-31,4550,650,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1377,4583598,Florida,2017-05-31,2100,300,Not Renewed,ZZ,R,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,2.0,7.0,999,11.0
1378,4347351,Nebraska,2017-05-31,1680,240,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1379,4945797,Texas,2017-05-31,6090,870,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1384,7022922,Ohio,2017-05-31,2870,410,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1385,7117098,Florida,2017-05-31,8673,1239,Not Renewed,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,7.0,999,11.0
1387,7954638,Ohio,2017-05-31,2450,350,Not Renewed,ZZ,U,ZZ,ZZ,ZZ,A,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0
1390,149349,Georgia,2017-05-31,2940,420,Not Renewed,ZZ,T,D,I,B,M,A,G,E,209.0,2.0,7.0,999,11.0
1394,143466,South Carolina,2017-05-31,3045,435,Not Renewed,ZZ,T,E,H,C,E,B,G,D,226.0,1.0,7.0,999,11.0
1395,129573,North Carolina,2017-05-31,1680,240,Not Renewed,ZZ,R,D,H,C,C,C,G,D,200.0,1.0,7.0,999,11.0
1397,102564,West Virginia,2017-05-31,3304,472,Not Renewed,ZZ,S,K,H,C,I,B,G,D,205.0,3.0,7.0,999,11.0
1398,101601,West Virginia,2017-05-31,3570,510,Not Renewed,ZZ,U,C,H,C,G,C,G,D,272.0,2.0,7.0,999,11.0
1400,101334,West Virginia,2017-05-31,3150,450,Not Renewed,ZZ,S,C,H,C,H,C,G,D,257.0,2.0,7.0,999,11.0
1401,102321,West Virginia,2017-05-31,1680,240,Not Renewed,ZZ,S,K,H,C,K,B,G,D,84.0,4.0,7.0,999,11.0
1402,92265,Maryland,2017-05-31,1680,240,Not Renewed,ZZ,T,G,G,C,G,C,G,D,199.0,1.0,7.0,999,11.0
1406,76503,Pennsylvania,2017-05-31,3500,500,Not Renewed,ZZ,R,C,G,C,F,C,H,G,238.0,2.0,7.0,999,11.0
1407,73716,Pennsylvania,2017-05-31,3850,550,Not Renewed,ZZ,S,B,F,B,M,A,F,C,226.0,3.0,7.0,999,11.0
1408,73623,Pennsylvania,2017-05-31,6174,882,Not Renewed,ZZ,S,C,H,B,O,A,C,A,175.0,4.0,7.0,999,11.0
1409,73656,Pennsylvania,2017-05-31,1722,246,Not Renewed,ZZ,S,C,H,B,P,A,C,A,51.0,4.0,7.0,999,11.0
1418,235605,Alabama,2017-05-31,1890,270,Not Renewed,ZZ,U,ZZ,ZZ,ZZ,D,ZZ,ZZ,ZZ,0.0,1.0,7.0,999,11.0
1422,237609,Alabama,2017-05-31,2800,400,Not Renewed,ZZ,R,G,H,C,F,B,G,D,324.0,2.0,7.0,999,11.0
1424,237993,Alabama,2017-05-31,3220,460,Not Renewed,ZZ,R,G,H,C,D,B,G,D,288.0,2.0,7.0,999,11.0
1426,237759,Alabama,2017-05-31,2975,425,Not Renewed,ZZ,R,G,H,C,I,B,G,D,210.0,2.0,7.0,999,11.0
1429,190206,Florida,2017-05-31,3500,500,Not Renewed,ZZ,ZZ,J,J,C,E,C,G,E,457.0,1.0,7.0,999,11.0
